Date,Time,Open,High,Low,Close,Volume
10/17/2022,1:18 PM,366.64,367.06,366.63,366.71,326097
10/17/2022,1:21 PM,366.71,366.74,366.2701,366.495,271061
10/17/2022,1:24 PM,366.4999,367.09,366.49,367.075,309638
10/17/2022,1:27 PM,367.09,367.3105,366.93,366.96,375239
10/17/2022,1:30 PM,366.97,367.165,366.83,367.0394,301792
10/17/2022,1:33 PM,367.03,367.18,366.92,367.09,218570
10/17/2022,1:36 PM,367.08,367.17,366.94,367.105,192999
10/17/2022,1:39 PM,367.1,367.27,366.9507,367.26,312427
10/17/2022,1:42 PM,367.255,367.27,367.13,367.19,214979
10/17/2022,1:45 PM,367.2001,367.22,366.9,366.95,368628
10/17/2022,1:48 PM,366.955,367.39,366.92,367.335,276697
10/17/2022,1:51 PM,367.34,367.67,367.2401,367.5,432694
10/17/2022,1:54 PM,367.49,367.69,367.465,367.525,347062
10/17/2022,1:57 PM,367.53,367.54,367.24,367.46,252913
10/17/2022,2:00 PM,367.46,367.55,367.33,367.41,186244
10/17/2022,2:03 PM,367.4,367.92,367.29,367.44,416673
10/17/2022,2:06 PM,367.43,367.48,367.07,367.155,311349
10/17/2022,2:09 PM,367.1589,367.265,366.94,367.185,212168
10/17/2022,2:12 PM,367.19,367.36,367.04,367.254,228041
10/17/2022,2:15 PM,367.25,367.33,366.84,366.98,278726
10/17/2022,2:18 PM,366.98,367,366.76,366.77,220059
10/17/2022,2:21 PM,366.7799,367.0465,366.67,366.9401,254074
10/17/2022,2:24 PM,366.945,366.96,366.6,366.61,218673
10/17/2022,2:27 PM,366.6,366.665,366.25,366.42,306372
10/17/2022,2:30 PM,366.44,366.83,366.4,366.74,413327
10/17/2022,2:33 PM,366.74,366.7899,366.38,366.455,252312
10/17/2022,2:36 PM,366.42,366.83,366.42,366.81,272571
10/17/2022,2:39 PM,366.81,367.0299,366.7695,366.93,289933
10/17/2022,2:42 PM,366.9307,367.23,366.93,367.13,278154
10/17/2022,2:45 PM,367.105,367.37,367.0301,367.235,319018
10/17/2022,2:48 PM,367.23,367.36,367.03,367.13,302286
10/17/2022,2:51 PM,367.12,367.23,366.95,367.13,207153
10/17/2022,2:54 PM,367.12,367.12,366.75,366.89,284826
10/17/2022,2:57 PM,366.89,367.08,366.72,367.03,262756
10/17/2022,3:00 PM,367.035,367.12,366.76,366.82,277973
10/17/2022,3:03 PM,366.81,367.07,366.4,366.41,376177
10/17/2022,3:06 PM,366.41,366.9,366.37,366.5,418326
10/17/2022,3:09 PM,366.51,366.5584,366.3098,366.54,350410
10/17/2022,3:12 PM,366.53,366.62,366.24,366.28,564727
10/17/2022,3:15 PM,366.2618,366.71,366.25,366.6005,458570
10/17/2022,3:18 PM,366.59,366.72,366.42,366.56,282901
10/17/2022,3:21 PM,366.55,366.7,366.22,366.3804,415263
10/17/2022,3:24 PM,366.39,366.94,366.22,366.83,408226
10/17/2022,3:27 PM,366.8049,366.99,366.76,366.91,415221
10/17/2022,3:30 PM,366.92,367.03,366.7,366.98,354643
10/17/2022,3:33 PM,366.98,367.17,366.73,367.13,392594
10/17/2022,3:36 PM,367.125,367.31,366.9,367.11,579982
10/17/2022,3:39 PM,367.115,367.135,366.87,366.98,497771
10/17/2022,3:42 PM,366.985,367.13,366.78,367.06,483886
10/17/2022,3:45 PM,367.06,367.61,367.045,367.51,700237
10/17/2022,3:48 PM,367.5,367.555,367.21,367.21,784460
10/17/2022,3:51 PM,367.2101,367.6,367.08,367.29,1489152
10/17/2022,3:54 PM,367.29,367.58,367.09,367.27,1100709
10/17/2022,3:57 PM,367.265,367.5,366.42,366.42,2099593
10/17/2022,4:00 PM,366.425,366.88,366.34,366.8,3671181
10/18/2022,9:33 AM,375.13,375.45,374.74,375.0133,2072654
10/18/2022,9:36 AM,375.02,375.35,374.27,374.69,1378575
10/18/2022,9:39 AM,374.69,374.95,374.22,374.6743,977312
10/18/2022,9:42 AM,374.66,374.83,373.85,374.08,1107516
10/18/2022,9:45 AM,374.09,374.49,373.9,374.11,719309
10/18/2022,9:48 AM,374.12,374.21,373.26,373.44,808332
10/18/2022,9:51 AM,373.45,374.28,373.45,374.22,609581
10/18/2022,9:54 AM,374.2,374.24,372.962,372.9716,648913
10/18/2022,9:57 AM,372.9999,373.41,372.45,373.28,809636
10/18/2022,10:00 AM,373.3,373.43,372.66,373.1,663356
10/18/2022,10:03 AM,373.12,373.84,373.04,373.76,590284
10/18/2022,10:06 AM,373.76,373.99,373.45,373.63,804755
10/18/2022,10:09 AM,373.65,373.8389,373.39,373.6099,390499
10/18/2022,10:12 AM,373.61,374.37,373.6,374.2417,579231
10/18/2022,10:15 AM,374.26,374.29,373.76,373.78,456328
10/18/2022,10:18 AM,373.79,374.1,373.05,373.3,517446
10/18/2022,10:21 AM,373.31,373.6,373.02,373.3823,385933
10/18/2022,10:24 AM,373.405,373.4105,372.65,372.76,536765
10/18/2022,10:27 AM,372.77,372.77,372.01,372.13,707489
10/18/2022,10:30 AM,372.13,372.37,371.91,371.95,547542
10/18/2022,10:33 AM,371.9682,372.195,371.65,371.83,521643
10/18/2022,10:36 AM,371.7801,372.01,371.64,371.96,634965
10/18/2022,10:39 AM,371.96,371.97,370.9654,371.17,943172
10/18/2022,10:42 AM,371.16,371.86,370.97,371.6902,672479
10/18/2022,10:45 AM,371.72,371.96,371.54,371.915,463326
10/18/2022,10:48 AM,371.93,372.18,371.61,372.17,545727
10/18/2022,10:51 AM,372.17,372.54,372.08,372.23,662646
10/18/2022,10:54 AM,372.22,372.28,371.74,371.93,394264
10/18/2022,10:57 AM,371.91,372.04,371.6099,371.95,502206
10/18/2022,11:00 AM,371.9283,371.96,371.435,371.5,629786
10/18/2022,11:03 AM,371.49,371.515,371,371.25,670395
10/18/2022,11:06 AM,371.22,371.955,371.2,371.69,414598
10/18/2022,11:09 AM,371.71,371.74,370.47,370.69,732647
10/18/2022,11:12 AM,370.69,370.79,370.53,370.5624,324544
10/18/2022,11:15 AM,370.57,370.6128,369.32,369.431,870066
10/18/2022,11:18 AM,369.4301,369.6399,369.21,369.4501,624601
10/18/2022,11:21 AM,369.49,369.85,369.17,369.34,555492
10/18/2022,11:24 AM,369.36,369.36,368.54,368.895,607589
10/18/2022,11:27 AM,368.87,368.92,368.12,368.78,747937
